VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
VEH001,CDA,129,CDA-C14-C2-C4-C15-C24-C10-C16-C1-C22-CDA,9,15-15-15-17-11-15-10-13-18,53.88,80.82,88692.71
VEH002,CDA,145,CDA-C12-C20-C23-C19-C7-C21-C3-C6-C18-C5-CDA,10,12-15-15-11-17-14-12-17-12-20,68.49,102.74,112750.39
VEH003,CDA,103,CDA-C13-C17-C9-C11-C8-CDA,5,21-25-20-17-20,32.9,49.35,54152.21
